ich	I
Unternehmer	Entrepreneur
ungestraft	with impunity
Türsteher	Bouncer
Ekstase	ecstasy
auskennen	know about
überschwemmen	flood
bügeln	iron
Zahnstocher	toothpick
schlüpfen	Hatch
Gefährte	fellow
Kreuzzug	crusade
Revanche	revenge
Vorrang	priority
bewilligen	approve
zulegen	gain
salutieren	salute
versohlen	wallop
festnageln	nail down
Rekord	record
kräftigen	strengthen
tarnen	camouflage
atemberaubend	breathtaking
Funke	spark
Mixer	mixer
anfordern	request
Waffenhändler	Arms dealer
Verweilen	linger
Flugticket	Plane ticket
walten	rule
Beurteilung	evaluation
überfüllen	overcrowding
Schriftsteller	writer
minderjährig	underage
funkeln	sparkle
startbereit	ready to go
vorherig	previous
Schultag	school day
zugunsten	in favor of
nunmehr	now
Gästeliste	guest list
gell	right
zugucken	watch
Vergnügungspark	theme park
durchdringen	penetrate
durchbohren	pierce
verdammen	condemn
hingeben	surrender
Refrain	refrain
Flammenwerfer	flamethrower
sündig	sinful
Windschutzscheibe	Windshield
allerletzter	very last
Mond	moon
feindselig	hostile
Christentum	Christianity
Schützengraben	Trenches
Fluggesellschaft	airline
Apotheker	pharmacist
entnehmen	remove
verbocken	mess up
Richter	Judge
Videokamera	Video camera
Most	Must
Fiasko	fiasco
verabreichen	administer
dämmern	dawn
schwungvoll	lively
verschulden	fault
Eroberer	conqueror
formulieren	formulate
knistern	crackle
wohlhabend	wealthy
Fußspur	Footprint
Patriotismus	patriotism
anprobieren	try on
Kranz	wreath
herbitten	ask
Einzug	Indent
Popo	Popo
Gewässer	Waters
herrichten	prepare
Vorsehung	providence
untröstlich	inconsolable
Volt	volt
auszahlen	pay off
Hinterausgang	Back exit
Suchtrupp	Search party
Unterfangen	Endeavor
demütig	humble
Juwelier	jeweler
Weber	Weber
unzertrennlich	inseparable
Portrait	portrait
schmerzlich	painful
Abzweigung	Junction
Überfluss	abundance
Blackout	blackout
hoffnungsvoll	hopeful
zugehen	approach
rechtlich	legally
Beben	Quake
Überlegung	consideration
Saat	seed
erfolglos	unsuccessful
Arsenal	arsenal
Showgeschäft	Show business
smart	smart
Versöhnung	reconciliation
hegen	cherish
binnen	within
Label	Label
auswärts	away
Einblick	insight
Kolben	piston
Bewachung	Guarding
unvorsichtig	careless
vertun	miss
schlaff	limp
Badeanzug	swimsuit
Mitmensch	Fellow man
schmal	narrow
Copyright	copyright
anzapfen	tap
Chrom	chrome
fegen	sweep
beständig	resistant
künftig	future
verzehren	consume
Müdigkeit	fatigue
Sternschnuppe	Shooting star
Durchsuchung	search
Sporthalle	Gym
erwählen	choose
Luxemburg	Luxembourg
Rat	advice
Regenzeit	Rainy season
Parole	parole
Witzfigur	Joke figure
abschicken	send
Autopilot	Autopilot
bewerten	evaluate
masturbieren	masturbate
Militärpolizei	military police
zuallererst	first of all
unterziehen	undergo
Hummel	bumblebee
Komplott	plot
impotent	impotent
hämisch	malicious
fixieren	fix
Krieger	warrior
Transfer	transfer
Sicherheitsvorkehrung	Security precaution
zurückverfolgen	trace back
violett	violet
Bosnien	Bosnia
Therapeut	therapist
Totenkopf	Skull
(he)rausfliegen	(he) fly out
abspringen	jump off
Gespött	mockery
behutsam	gently
Feindseligkeit	Hostility
Statthalter	Governor
Schraubenschlüssel	Wrench
nachwachsen	grow back
selbstsicher	self confident
Zeugenschutzprogramm	Witness protection program
bescheren	grant
Hausfriedensbruch	Trespassing
Bundesstaat	State
tolerieren	tolerate
Ermessen	discretion
verzweifeln	despair
anketten	chain
mühen	to struggle
weiterspielen	keep playing
Schlückchen	sip
Rettungsboot	Lifeboat
Bootshaus	Boathouse
mürrisch	grumpy
Schauspielerei	Acting
Requisit	prop
pausenlos	nonstop
Privatbesitz	Privately owned
distanzieren	distance
Formalität	formality
Voraussetzung	requirement
skrupellos	unscrupulous
Jockey	jockey
Gewissensbiss	Remorse
Arrangement	arrangement
diesbezüglich	in this regard
erlöschen	go out
schrubben	scrub
gesellschaftlich	socially
vorzeitig	prematurely
beabsichtigen	to intend
aushelfen	help out
erhoffen	hope
deportieren	deport
einwenden	object
strikt	strictly
Sonderangebot	special offer
dreitausend	three thousand
Erzählung	narrative
inspizieren	inspect
Eisberg	iceberg
einschätzen	assess
weinend	weeping
Schusslinie	Line of fire
Jubiläum	anniversary
erdulden	suffer
Sommerferien	summer holidays
Baseballschläger	Baseball bat
Patriot	patriot
Präsidium	Bureau
signieren	sign
allererster	very first
Magd	Maid
Vergaser	Carburetor
koordinieren	coordinate
Uhrwerk	clockwork
unerwünscht	undesirable
freisprechen	to acquit
Petroleum	petroleum
Bürde	burden
Abschiedsbrief	Farewell letter
Weckruf	Wake up call
Klapsmühle	Loony bin
Zitrone	lemon
(he)runterlassen	(he) let down
Gebäck	Pastries
zurückschlagen	strike back
durchsichtig	transparent
Fläschchen	Vials
beflecken	stain
Konvention	Convention
Schürze	apron
Nichtraucher	Nonsmoker
Mathematiker	mathematician
färben	to dye
Sieg	victory
konstant	constant
Zauberspruch	Magic spell
sarkastisch	sarcastic
Partikel	Particles
Vergessenheit	oblivion
Nobelpreis	Nobel Prize
Meineid	perjury
rundherum	all around
leitend	conductive
unfruchtbar	barren
Nahrungsmittel	food
Oberschenkel	Thigh
Kohlendioxid	Carbon dioxide
schrill	shrill
Ballast	ballast
Luftschleuse	Airlock
Abschuss	Launch
Erektion	erection
Milliardär	billionaire
reintun	Put in
abkaufen	buy off
auslegen	interpret
vermachen	bequeath
Lokomotive	locomotive
Raubtier	Predator
Sonnenbrand	sunburn
Krücke	crutch
verübeln	resent
allerhand	all sorts of things
zurückhaltend	reluctant
aufbleiben	stay up
unterkriegen	get down
Hering	herring
Redensart	Idiom
Attrappe	dummy
verlogen	lying
kitschig	cheesy
heimkehren	return home
Salzwasser	Salt water
achtern	aft
Ventilator	fan
Bewunderer	admirer
Spinat	spinach
Depot	depot
Operationssaal	operating room
anmaßend	presumptuous
übereinander	on top of each other
schnitzen	to carve
Blindgänger	Duds
Annäherung	Approximation
umstimmen	change your mind
Blech	sheet
Gespür	flair
amputieren	amputate
unwiderstehlich	irresistible
Aufpasser	Watchdog
Gestein	rock
Wunderkind	wonder child
sabotieren	sabotage
erzwingen	force
aussperren	lock out
windig	windy
Bürgerrecht	Civil rights
Schaufenster	Store window
revanchieren	retaliate
Wahlkampf	Election campaign
anbauen	plant
Denkweise	Way of thinking
Jacht	yacht
beanspruchen	claim
Dossier	dossier
fatal	fatal
Waffel	waffle
abwaschen	wash up
Sprengung	Demolition
glaubwürdig	believable
irrsinnig	insane
Dienstmarke	Badge
Gram	Grief
isolieren	isolate
Lied	song
zehnter	tenth
solang	so long
Intrige	intrigue
überlaufen	run over
Zuckerwatte	cotton candy
Sicherheitsmaßnahme	Security measure
Mitfahrgelegenheit	Carpooling
Hochhaus	skyscraper
Schutzschild	Protective shield
Stumpf	Stump
austrinken	drink up
verspannen	brace
Richtlinie	Directive
Telefonat	Phone call
Kleiderschrank	wardrobe
Antarktis	Antarctic
beliebig	any
abtrennen	split off
abservieren	dump
Deal	deal
kubanisch	Cuban
inhaftieren	imprison
verspotten	to mock
steppen	quilting
Brut	Brood
Perversion	perversion
Wiederbelebung	revival
hektisch	hectic
Alge	alga
Nigeria	Nigeria
Hygiene	hygiene
fauchen	hiss
problematisch	problematic
Kot	Feces
Gequatsche	Chatter
kreieren	create
käuflich	for sale
Biographie	biography
Videospiel	Video game
Webseite	website
paarmal	few times
asiatisch	Asian
überfällig	overdue
Exempel	example
entfallen	omitted
Medizinmann	Medicine man
voraussagen	predict
Tiefpunkt	Low point
neunter	ninth
freilich	of course
notfalls	if necessary
Verfolgungsjagd	chase
Straßenrand	Roadside
quetschen	to squeeze
rülpsen	burp
Set	set
schlafend	asleep
Orgel	organ
Ration	ration
landesweit	nationwide
verfaulen	rot
hocherfreut	delighted
Geldbörse	wallet
herausbekommen	get out
experimentieren	experiment
Unterredung	Conversation
würfeln	roll the dice
wegschaffen	carry away
Turnen	do gymnastics
Strauß	ostrich
tadellos	impeccable
Deserteur	deserter
hinausgehen	go out
umsetzen	implement
Menschenrecht	Human right
Trommelwirbel	Drum roll
mittwochs	Wednesdays
Fohlen	foal
ekelig	disgusting
seltsamerweise	oddly enough
zuweisen	to assign
Reptil	reptile
unwirklich	unreal
fließend	fluently
dauerhaft	permanent
Romantiker	Romantics
husch	hush
Faschismus	fascism
gleichermaßen	equally
wiedergutmachen	make amends
Foyer	foyer
begründen	justify
unwissend	ignorant
ausführlich	detailed
Schlafsack	Sleeping bag
anbeißen	bite
Schauer	shower
Spionage	espionage
Barriere	barrier
einchecken	check in
Reisebüro	Travel agency
rübergehen	go over
schrumpfen	shrink
unordentlich	messy
anstiften	instigate
anregend	stimulating
freundlicherweise	kindly
ausrufen	calling out
anspruchsvoll	demanding
Kapsel	capsule
tätowieren	tattoo
schwanken	vary
stampfen	stamp
pellen	peel
akzeptabel	acceptable
schwinden	dwindle
Blickfeld	Field of view
losziehen	go off
seitlich	laterally
olympisch	Olympic
röhren	to roar
abkratzen	scrape off
persisch	Persian
Einkauf	Purchasing
Gedärm	Intestines
juristisch	legal
spektakulär	spectacular
Schlagzeuger	drummer
leuchtend	bright
Kruste	crust
ausgeglichen	balanced
gigantisch	gigantic
nachsitzen	detention
verschmelzen	merge
Navigator	navigator
Tötung	killing
diesjährig	this year
Verzeichnis	directory
irrational	irrational
Nächstenliebe	Charity
Tschechoslowakei	Czechoslovakia
Goldstück	Gold piece
einerseits	on the one hand
Dirne	Whore
bergauf	uphill
Erbe	heritage
zermalmen	crush
Streber	nerd
Rockstar	Rock star
weiterführen	continue
Aussprache	pronunciation
Fanfare	fanfare
verbleiben	remain
Frustration	frustration
Boden	ground
ermüden	fatigue
zerfallen	disintegrate
Pforte	Gate
aufbrauchen	use up
sechsmal	six times
zwischendurch	occasionally
zusammentun	team up
wasserdicht	waterproof
undicht	leaky
verblassen	fading
grübeln	brooding
Meute	pack
Zeugenaussage	Testimony
Plunder	plunder
vorhersagen	predict
Begründung	Reason
Sonnenstrahl	Sunbeam
Planänderung	Change of plan
erringen	win
Streuner	Strays
preisgeben	reveal
Äffchen	little monkey
Menschenseele	Human soul
einfädeln	thread
donnerstags	Thursdays
Schnäppchen	bargain
dabeihaben	have along
Freiheitsstatue	statue of Liberty
verführerisch	seductive
vernarren	fond
realisieren	realize
hinsichtlich	regarding
Identifikation	ID
Lautstärke	volume
berüchtigt	notorious
Widmung	dedication
respektvoll	respectful
fasten	fast
Besteck	cutlery
Abneigung	antipathy
nachmachen	imitate
ausrotten	exterminate
Fotografie	photography
schwirren	buzz
Zufluchtsort	Haven
Macke	Quirk
Betäubungsmittel	Narcotics
lächelnd	smiling
Lava	lava
ehrenvoll	honorable
vormittags	morning
schummeln	cheat
Fechten	fencing
Vorzug	Preference
gewandt	agile
Pfütze	puddle
Bürste	brush
Paddel	paddle
Schwert	sword
einschenken	pour out
ereignen	happen
Slogan	slogan
phänomenal	phenomenal
weglassen	omitting
Stabilität	stability
bürsten	to brush
Lieblingsfarbe	favourite colour
selbständig	independent
Linse	lens
kombinieren	combine
Modus	mode
verlangsamen	slow it down
faxen	fax
Kollision	collision
Fahrzeug	vehicle
unscharf	blurred
Überwachungskamera	Security Camera
systematisch	systematically
sprayen	spray
mähen	mowing
dämpfen	dampen
Serbien	Serbia
Schuhgröße	Shoe size
ungehorsam	disobedience
Bit	bit
übereinstimmen	to match
Finderlohn	Finder's reward
leichtfertig	frivolously
Bitterkeit	bitterness
Minderheit	minority
Lokführer	Train driver
Pferd	horse
Leichenbeschauer	Coroner
gutgehen	go well
Huf	hoof
eifrig	eager
einstimmig	unanimously
Tapete	wallpaper
Telefonist	telephone operator
nachholen	catch up
abwehren	fend off
herumfahren	drive around
hereinspazieren	walk in
kurzsichtig	nearsighted
entstellen	disfigure
Strophe	verse
Herausgeber	editor
Steuermann	Helmsman
Kupfer	copper
versteigern	auction
Plutonium	plutonium
Socke	sock
anbelangen	concern
todsicher	dead certain
bändigen	tame
Eisschrank	Icebox
erstarren	freeze
zurückweisen	deny
Ernennung	appointment
wortwörtlich	literally
zieren	adorn
Pokal	Cup
drastisch	drastic
Tal	valley
Ausbeutung	exploitation
Slum	slum
verduften	evaporate
Gegenangriff	Counterattack
picken	peck
Riesending	Huge thing
heldenhaft	heroic
vorschreiben	prescribe
Konzentrationslager	concentration camp
agieren	act
Anführer	leader
Armbanduhr	Wrist watch
Henne	hen
Verfolger	Pursuer
Zusammentreffen	Meeting
schütten	pour
hochheben	lift up
blitzschnell	lightning fast
freimachen	clear
einstufen	classify
parallel	parallel
Kost	Food
hierzu	For this
zeitig	in time
überbrücken	bridge
Ehrenmedaille	Medal of Honor
eskortieren	escort
Pose	pose
Hosentasche	pocket
Karat	carat
Rudel	pack
mäßig	moderate
beschneiden	trimming
Schwertkampf	Sword fighting
Stickstoff	nitrogen
dienstags	Tuesdays
Schema	Scheme
verschlechtern	worsen
Einsicht	Insight
Koje	bunk
Geschoss	bullet
Bubi	Boy
einlochen	pound
woandershin	elsewhere
Mappe	Folder
kanadisch	Canadian
Schlüpfer	panties
Motte	moth
unartig	naughty
Amnestie	amnesty
Muslim	Muslim
lässig	casual
verhängen	impose
Zusammensetzung	composition
umschreiben	rewrite
Ziffer	Digit
(he)rausschneiden	(he) cut out
Abschlussfeier	Graduation ceremony
beleuchten	illuminate
wirtschaftlich	economically
schwängern	get pregnant
interpretieren	interpret
Justizminister	Justice Minister
Faser	fiber
Pate	Godfather
sonnig	sunny
Phase	phase
Lateinamerika	Latin America
Festplatte	hard disk
ausschwärmen	swarm out
Petition	petition
Konfrontation	confrontation
Hardware	hardware
Spurensicherung	Forensics
human	humane
hochnehmen	pick up
währen	to last
bevorstehend	forthcoming
Innenminister	Minister of the Interior
abbeißen	bite off
Bettchen	Crib
Kluft	gap
anpacken	tackle
generell	As a general rule
morgiger	tomorrow
Bildhauer	sculptor
eintausend	one thousand
Erhöhung	increase
Verbandszeug	Bandages
trostlos	bleak
Hinterteil	Rump
klirren	clink
brenzlig	dicey
Navigation	navigation
Orakel	oracle
hissen	hoist
festsitzen	get stuck
Verwechslung	confusion
taktvoll	tactful
wirr	confused
kleinlich	petty
unbeschreiblich	indescribable
empört	outraged
inspirierend	inspiring
Hehler	Fence
demütigend	humiliating
entzwei	in two
Tagung	meeting
Kleinkind	small child
verzögern	delay
Maschinerie	machinery
erblicken	catch sight of
Appell	appeal
Kittchen	Putty
anflehen	implore
unklug	unwise
besiegeln	seal
Lakai	Lackey
folgendermaßen	as follows
durchlassen	let through
bekleiden	clothe
Vorsichtsmaßnahme	Precaution
Verhängnis	Doom
Gaul	Horse
freisetzen	release
konservativ	conservative
hinterhältig	sneaky
Roulette	roulette
tatenlos	inactive
hierüber	about this
(he)rausbekommen	(he) get out
Eiszeit	Ice age
frisieren	comb
Arterie	artery
urkomisch	hilarious
Trumpf	Trump card
erkranken	get sick
Fluglinie	Airline
begrenzen	limit
permanent	permanent
assistieren	assist
Horoskop	horoscope
Gebiss	denture
Bewusstsein	awareness
verrichten	perform
Rasierer	Razor
furchterregend	terrifying
Zusammenfassung	Summary
abräumen	clear away
sogleich	immediately
Partisan	partisan
Schwadron	squadron
unterlassen	fail
Wendepunkt	Turning point
Dialog	dialog
quieken	squeak
applaudieren	applaud
Pilz	mushroom
Gladiator	gladiator
genesen	recovered
widerrufen	withdraw
Weihnachtszeit	Christmas time
Transvestit	transvestite
Lagune	lagoon
verwischen	blur
Zepter	scepter
Kunststück	sleight of hand
vertieft	deepened
ratlos	at a loss
Geburtstagsparty	Birthday party
Arznei	Medicament
anbinden	tie up
üblicherweise	usually
Transaktion	transaction
Rehabilitation	rehabilitation
Kettenreaktion	Chain reaction
Sozialhilfe	social care
rätselhaft	enigmatic
Vorsatz	Intent
übertreten	trespass
ungerade	odd
Sicherheitsleute	Security guards
schiefgehen	go wrong
weiterlaufen	keep walking
Jahrbuch	Yearbook
Codename	Code name
lokalisieren	locate
Astronomie	astronomy
Tang	Tang
Tentakel	tentacle
schmücken	decorate
Jalousie	louvre
labern	babble
ausrücken	move out
Besinnung	reflection
verscheuchen	scare away
Knechtschaft	bondage
Zahlmeister	Paymaster
Verdammnis	damnation
Straßenbahn	tram
austeilen	hand out
jeher	always
Überraschungsparty	surprise party
hierauf	on this
Seemann	sailor
Kenner	Connoisseur
ausbilden	form
Probeaufnahme	Test recording
anderweitig	elsewhere
Diplomat	diplomat
trödeln	dawdle
einbuchten	log in
halbtot	half dead
Patenonkel	Godfather
Lähmung	paralysis
eingestehen	admit
auftragen	Instruct
herunterkommen	come down
kerngesund	perfectly healthy
Wildschwein	wild boar
verspeisen	eat
anbeten	worship
Herzversagen	Heart failure
gottlos	godless
versteinern	petrify
Glühwürmchen	Firefly
verweisen	refer
entlarven	expose
Kauderwelsch	gibberish
gemach	chamber
Aroma	Aroma
bereinigen	clean up
Guatemala	Guatemala
Segelboot	Sailboat
Verleihung	Award
Wollust	Lust
streuen	sprinkle
verstauchen	sprain
Auslaufen	leak
tratschen	gossip
Parkett	parquet
Weihwasser	holy water
Verdeck	Convertible top
Kinderheim	Children's home
entfachen	kindle
delikat	delicate
importieren	import
barsch	perch
Akkordeon	accordion
Zusammensein	Be together
veralten	obsolescence
soundso	so and so
ausreißen	run away
Töchterchen	Daughter
Skifahren	To ski
Verdauung	digestion
weggeben	to give away
fünfhundert	fivehundred
zuweilen	at times
Kokosnuss	coconut
Anleihe	bond
Ultimatum	ultimatum
Bistro	bistro
populär	popular
verfangen	caught
Besuchszeit	Visiting time
unbegreiflich	incomprehensible
entbinden	give birth
Stäbchen	rod
Überfall	Raid
Misserfolg	failure
prachtvoll	splendid
sitzend	sitting
kraftvoll	powerful
zumal	especially
Steinzeit	Stone age
ordinär	vulgar
vorstellbar	imaginable
Schwalbe	swallow
erträumen	dream
fortan	henceforth
belanglos	irrelevant
durchschlagen	punch through
Segler	Sailors
zurückgewinnen	win back
Rollbahn	Runway
Kulisse	Backdrop
zusammenpassen	match
Karpfen	carp
entsorgen	to dispose
Nordkorea	North Korea
Krümel	Crumbs
losmachen	unleash
lagern	to store
abschütteln	shake off
Werbespot	commercial
Atomkrieg	Nuclear war
zerschneiden	cut
stricken	knit
Geruch	odor
knusprig	crispy
Überweisung	Transfer
Krankenversicherung	Health insurance
Kleber	Glue
adlig	noble
Spezialgebiet	Specialty
dehnen	stretch
disqualifizieren	disqualify
Ausgangspunkt	starting point
Brustkorb	Rib cage
spekulieren	speculate
Bagger	Excavator
Indio	Indio
mechanisch	mechanically
explosiv	explosive
Gleichung	equation
bekümmern	grieve
Globus	globe
Meteorit	meteorite
Puck	puck
Heiligkeit	holiness
lateinisch	Latin
Zyklop	Cyclops
Meeting	meeting
Weltbank	World bank
Untergeschoss	Basement
schädlich	harmful
verletzlich	vulnerable
Schwellung	swelling
Delirium	delirium
willig	willing
verkriechen	crawl away
Verleumdung	Defamation
barmherzig	merciful
prophezeien	prophesy
Hohn	Scorn
brünett	brunette
dableiben	stay there
exekutieren	to execute
Nordwest	northwest
scharfsinnig	astute
